code,name,quantity,avg_price
257720,실리콘투,290.0,49450.0
011070,LG이노텍,24.0,602000.0
005935,삼성전자우,74.0,194500.0
003230,삼양식품,4.0,1547000.0
KRW-SOL,솔라나,7.92319501,143600.0
024840,KBI메탈,2298.0,6160.0
008930,한미사이언스,33.0,45800.0
