date,code,name,action,quantity,price,amount,reason
2026-08-31,055550,신한지주,buy,197,108900,21453300,"변동성 수축비 0.85(≤0.85), 고점대비 -3.9% — ATR14 리스크 2% 사이징 공격적 매수"
2026-09-01,055550,신한지주,sell,197,111100,21886700,예측 수익률이 -0.4%로 음전환 — 신호 소멸로 매도
